registrationno,sapid,line,reason
"BCS 02141094","70035474",2,not_found
"MSITS07223023","70169558",3,not_found
"Dpt07163007","70160677",4,not_found
"PHMAT01153023","70042017",5,not_found
"PHMAT02211008","70122855",7,not_found
"BSCSR07183004","70155314",8,not_found
"BALLB02173077","70080216",10,not_found
"PHMAT01163081","70085154",12,not_found
"MSEES01181002","70103079",13,not_found
"Dpt01133216","70030918",14,not_found
"BSME01143030","70034999",15,not_found
"BDS01200075","70123679",16,not_found
"BDS01200074","70123689",17,not_found
"BDS01200032","70123688",18,not_found
"BDS01180108","70115134",19,not_found
"BDS01110054","70018995",20,not_found
"BDS01200106","70123767",21,not_found
"BDS01200105","70144677",22,not_found
"BDS01200103","70123674",23,not_found
"BDS01200102","70123637",24,not_found
"BDS01200101","70123826",25,not_found
"BDS01200099","70123710",26,not_found
"BDS01200097","70123719",27,not_found
"BDS01200096","70123723",28,not_found
"BDS01200095","70123652",29,not_found
"BDS01200088","70123672",30,not_found
"BDS01200087","70123706",31,not_found
"BDS01200086","70123810",32,not_found
"BDS01200085","70123686",33,not_found
"BDS01200082","70123816",34,not_found
"BDS01200080","70123780",35,not_found
"BDS01200079","70123659",36,not_found
"BDS01200077","70123678",37,not_found
"BDS01200073","70123649",38,not_found
"BDS01200070","70123713",39,not_found
"BDS01200068","70123667",40,not_found
"BDS01200066","70123724",41,not_found
"BDS01200065","70123827",42,not_found
"BDS01200063","70123684",43,not_found
"BDS01200061","70123805",44,not_found
"BDS01200060","70123779",45,not_found
"BDS01200059","70123812",46,not_found
"BDS01200058","70123708",47,not_found
"BDS01200057","70123657",48,not_found
"BDS01200054","70123636",49,not_found
"BDS01200052","70123697",50,not_found
"BDS01200049","70123716",51,not_found
"BDS01200048","70123808",52,not_found
"BDS01200046","70123663",53,not_found
"BDS01200043","70123814",54,not_found
"BDS01200040","70123818",55,not_found
"BDS01200039","70123804",56,not_found
"BDS01200033","70123683",57,not_found
"BDS01200031","70123727",58,not_found
"BDS01200030","70123691",59,not_found
"BDS01200029","70123709",60,not_found
"BDS01200028","70123640",61,not_found
"BDS01200027","70123699",62,not_found
"BDS01200024","70123720",63,not_found
"BDS01200023","70123820",64,not_found
"BDS01200022","70123822",65,not_found
"BDS01200021","70123778",66,not_found
"BDS01200020","70123802",67,not_found
"BDS01200019","70123815",68,not_found
"BDS01200018","70123698",69,not_found
"BDS01200017","70123799",70,not_found
"BDS01200016","70123795",71,not_found
"BDS01200015","70123806",72,not_found
"BDS01200014","70123783",73,not_found
"BDS01200012","70123645",74,not_found
"BDS01200009","70123828",75,not_found
"BDS01200008","70123718",76,not_found
"BDS01200006","70123787",77,not_found
"BDS01200004","70123694",78,not_found
"BDS01200001","70123654",79,not_found
"BDS01190154","70123762",80,not_found
"BDS01170069","70114644",81,not_found
"BDS01170072","70115325",82,not_found
"BDS01190091","70123761",135,not_found
"BDS01190064","70123777",143,not_found
"BDS01180140","70115042",151,not_found
"BDS01180034","70114980",153,not_found
"BDS01170001","70114232",154,not_found
"BDS01180085","70114564",155,not_found
"BDS01180016","70115456",156,not_found
"BDS01180084","70115343",157,not_found
"BDS01180079","70115065",158,not_found
"BDS01160057","70114502",159,not_found
"BDS01170046","70115281",160,not_found
"BDS01180146","70114889",161,not_found
"BDS01150027","70041833",162,not_found
"BDS01180032","70115272",163,not_found
"BDS01180013","70113997",164,not_found
"BDS01180070","70114910",165,not_found
"BDS01180077","70115078",166,not_found
"BDS01170020","70115104",167,not_found
"BDS01170055","70114781",168,not_found
"BDS01180135","70114791",169,not_found
"BDS01180064","70114611",170,not_found
"BDS01180139","70115482",171,not_found
"BDS01180145","70114807",172,not_found
